SampleID	SampleName	BarcodePair	MarkerID	numRead	ReadFile
025-2_S21	025-2_S21	NA	csp	43989	output/processedReads/025-2_S21_L001_csp_NGmerge.fastq.gz
027-1_S22	027-1_S22	NA	msp1	34494	output/processedReads/027-1_S22_L001_msp1_NGmerge.fastq.gz
027-2_S23	027-2_S23	NA	csp	47707	output/processedReads/027-2_S23_L001_csp_NGmerge.fastq.gz
029-1_S24	029-1_S24	NA	msp1	43009	output/processedReads/029-1_S24_L001_msp1_NGmerge.fastq.gz
029-2_S25	029-2_S25	NA	csp	46596	output/processedReads/029-2_S25_L001_csp_NGmerge.fastq.gz
030-1_S26	030-1_S26	NA	msp1	30806	output/processedReads/030-1_S26_L001_msp1_NGmerge.fastq.gz
030-2_S27	030-2_S27	NA	csp	47895	output/processedReads/030-2_S27_L001_csp_NGmerge.fastq.gz
034-2_S28	034-2_S28	NA	csp	39475	output/processedReads/034-2_S28_L001_csp_NGmerge.fastq.gz
040-1_S29	040-1_S29	NA	msp1	42942	output/processedReads/040-1_S29_L001_msp1_NGmerge.fastq.gz
040-2_S30	040-2_S30	NA	csp	45082	output/processedReads/040-2_S30_L001_csp_NGmerge.fastq.gz
048-1_S31	048-1_S31	NA	msp1	44338	output/processedReads/048-1_S31_L001_msp1_NGmerge.fastq.gz
048-2_S32	048-2_S32	NA	csp	38293	output/processedReads/048-2_S32_L001_csp_NGmerge.fastq.gz
11639-1_S7	11639-1_S7	NA	msp1	174341	output/processedReads/11639-1_S7_L001_msp1_NGmerge.fastq.gz
11639-2_S6	11639-2_S6	NA	csp	274233	output/processedReads/11639-2_S6_L001_csp_NGmerge.fastq.gz
11639-2_S6	11639-2_S6	NA	msp1	2701	output/processedReads/11639-2_S6_L001_msp1_NGmerge.fastq.gz
11800-1_S16	11800-1_S16	NA	msp1	208249	output/processedReads/11800-1_S16_L001_msp1_NGmerge.fastq.gz
11800-2_S15	11800-2_S15	NA	csp	282159	output/processedReads/11800-2_S15_L001_csp_NGmerge.fastq.gz
13819-1_S8	13819-1_S8	NA	msp1	193618	output/processedReads/13819-1_S8_L001_msp1_NGmerge.fastq.gz
13819-2_S7	13819-2_S7	NA	msp1	2440	output/processedReads/13819-2_S7_L001_msp1_NGmerge.fastq.gz
13819-2_S7	13819-2_S7	NA	csp	246694	output/processedReads/13819-2_S7_L001_csp_NGmerge.fastq.gz
13839-1_S12	13839-1_S12	NA	msp1	250357	output/processedReads/13839-1_S12_L001_msp1_NGmerge.fastq.gz
13839-2_S11	13839-2_S11	NA	msp1	1952	output/processedReads/13839-2_S11_L001_msp1_NGmerge.fastq.gz
13839-2_S11	13839-2_S11	NA	csp	167420	output/processedReads/13839-2_S11_L001_csp_NGmerge.fastq.gz
18330-1_S6	18330-1_S6	NA	msp1	139809	output/processedReads/18330-1_S6_L001_msp1_NGmerge.fastq.gz
18330-2_S5	18330-2_S5	NA	msp1	2637	output/processedReads/18330-2_S5_L001_msp1_NGmerge.fastq.gz
18330-2_S5	18330-2_S5	NA	csp	335327	output/processedReads/18330-2_S5_L001_csp_NGmerge.fastq.gz
18411-1_S15	18411-1_S15	NA	msp1	158529	output/processedReads/18411-1_S15_L001_msp1_NGmerge.fastq.gz
18411-2_S14	18411-2_S14	NA	csp	309389	output/processedReads/18411-2_S14_L001_csp_NGmerge.fastq.gz
18437-1_S17	18437-1_S17	NA	msp1	177749	output/processedReads/18437-1_S17_L001_msp1_NGmerge.fastq.gz
18437-2_S16	18437-2_S16	NA	csp	260982	output/processedReads/18437-2_S16_L001_csp_NGmerge.fastq.gz
192771-1_S14	192771-1_S14	NA	msp1	161431	output/processedReads/192771-1_S14_L001_msp1_NGmerge.fastq.gz
192771-2_S13	192771-2_S13	NA	csp	254329	output/processedReads/192771-2_S13_L001_csp_NGmerge.fastq.gz
192771-2_S13	192771-2_S13	NA	msp1	2113	output/processedReads/192771-2_S13_L001_msp1_NGmerge.fastq.gz
22511-1_S18	22511-1_S18	NA	msp1	202280	output/processedReads/22511-1_S18_L001_msp1_NGmerge.fastq.gz
22511-2_S17	22511-2_S17	NA	csp	250697	output/processedReads/22511-2_S17_L001_csp_NGmerge.fastq.gz
82281-1_S3	82281-1_S3	NA	msp1	211323	output/processedReads/82281-1_S3_L001_msp1_NGmerge.fastq.gz
82281-2_S2	82281-2_S2	NA	msp1	2017	output/processedReads/82281-2_S2_L001_msp1_NGmerge.fastq.gz
82281-2_S2	82281-2_S2	NA	csp	182756	output/processedReads/82281-2_S2_L001_csp_NGmerge.fastq.gz
8238-1_S10	8238-1_S10	NA	msp1	206670	output/processedReads/8238-1_S10_L001_msp1_NGmerge.fastq.gz
8238-2_S9	8238-2_S9	NA	msp1	1453	output/processedReads/8238-2_S9_L001_msp1_NGmerge.fastq.gz
8238-2_S9	8238-2_S9	NA	csp	197224	output/processedReads/8238-2_S9_L001_csp_NGmerge.fastq.gz
Abass-1_S4	Abass-1_S4	NA	msp1	181275	output/processedReads/Abass-1_S4_L001_msp1_NGmerge.fastq.gz
Abass-2_S3	Abass-2_S3	NA	msp1	2614	output/processedReads/Abass-2_S3_L001_msp1_NGmerge.fastq.gz
Abass-2_S3	Abass-2_S3	NA	csp	226377	output/processedReads/Abass-2_S3_L001_csp_NGmerge.fastq.gz
Ali-1_S19	Ali-1_S19	NA	msp1	205813	output/processedReads/Ali-1_S19_L001_msp1_NGmerge.fastq.gz
Ali-2_S18	Ali-2_S18	NA	csp	186552	output/processedReads/Ali-2_S18_L001_csp_NGmerge.fastq.gz
Balkisu-1_S2	Balkisu-1_S2	NA	msp1	222777	output/processedReads/Balkisu-1_S2_L001_msp1_NGmerge.fastq.gz
Balkisu-2_S1	Balkisu-2_S1	NA	msp1	1818	output/processedReads/Balkisu-2_S1_L001_msp1_NGmerge.fastq.gz
Balkisu-2_S1	Balkisu-2_S1	NA	csp	199603	output/processedReads/Balkisu-2_S1_L001_csp_NGmerge.fastq.gz
cc001-1_S29	cc001-1_S29	NA	msp1	61434	output/processedReads/cc001-1_S29_L001_msp1_NGmerge.fastq.gz
cc001-2_S9	cc001-2_S9	NA	csp	64490	output/processedReads/cc001-2_S9_L001_csp_NGmerge.fastq.gz
cc002-1_S30	cc002-1_S30	NA	msp1	64623	output/processedReads/cc002-1_S30_L001_msp1_NGmerge.fastq.gz
cc002-2_S10	cc002-2_S10	NA	csp	91494	output/processedReads/cc002-2_S10_L001_csp_NGmerge.fastq.gz
cc003-1_S31	cc003-1_S31	NA	msp1	75449	output/processedReads/cc003-1_S31_L001_msp1_NGmerge.fastq.gz
cc003-2_S11	cc003-2_S11	NA	csp	84668	output/processedReads/cc003-2_S11_L001_csp_NGmerge.fastq.gz
cc004-1_S32	cc004-1_S32	NA	msp1	83374	output/processedReads/cc004-1_S32_L001_msp1_NGmerge.fastq.gz
cc004-2_S12	cc004-2_S12	NA	csp	60417	output/processedReads/cc004-2_S12_L001_csp_NGmerge.fastq.gz
cc005-1_S33	cc005-1_S33	NA	msp1	56638	output/processedReads/cc005-1_S33_L001_msp1_NGmerge.fastq.gz
cc005-2_S13	cc005-2_S13	NA	csp	45597	output/processedReads/cc005-2_S13_L001_csp_NGmerge.fastq.gz
cc006-1_S34	cc006-1_S34	NA	msp1	80089	output/processedReads/cc006-1_S34_L001_msp1_NGmerge.fastq.gz
cc006-2_S14	cc006-2_S14	NA	csp	82456	output/processedReads/cc006-2_S14_L001_csp_NGmerge.fastq.gz
cc007-1_S35	cc007-1_S35	NA	msp1	81326	output/processedReads/cc007-1_S35_L001_msp1_NGmerge.fastq.gz
cc007-2_S15	cc007-2_S15	NA	csp	86253	output/processedReads/cc007-2_S15_L001_csp_NGmerge.fastq.gz
cc008-1_S36	cc008-1_S36	NA	msp1	52759	output/processedReads/cc008-1_S36_L001_msp1_NGmerge.fastq.gz
cc008-2_S16	cc008-2_S16	NA	csp	99143	output/processedReads/cc008-2_S16_L001_csp_NGmerge.fastq.gz
cc009-1_S37	cc009-1_S37	NA	msp1	58296	output/processedReads/cc009-1_S37_L001_msp1_NGmerge.fastq.gz
cc009-2_S17	cc009-2_S17	NA	csp	71290	output/processedReads/cc009-2_S17_L001_csp_NGmerge.fastq.gz
cc010-1_S38	cc010-1_S38	NA	msp1	83956	output/processedReads/cc010-1_S38_L001_msp1_NGmerge.fastq.gz
cc010-2_S18	cc010-2_S18	NA	csp	82444	output/processedReads/cc010-2_S18_L001_csp_NGmerge.fastq.gz
cc011-1_S39	cc011-1_S39	NA	msp1	82926	output/processedReads/cc011-1_S39_L001_msp1_NGmerge.fastq.gz
cc011-2_S19	cc011-2_S19	NA	csp	62355	output/processedReads/cc011-2_S19_L001_csp_NGmerge.fastq.gz
cc012-1_S40	cc012-1_S40	NA	msp1	82887	output/processedReads/cc012-1_S40_L001_msp1_NGmerge.fastq.gz
cc012-2_S20	cc012-2_S20	NA	csp	34848	output/processedReads/cc012-2_S20_L001_csp_NGmerge.fastq.gz
cc014-1_S22	cc014-1_S22	NA	msp1	210541	output/processedReads/cc014-1_S22_L001_msp1_NGmerge.fastq.gz
cc014-2_S21	cc014-2_S21	NA	csp	331811	output/processedReads/cc014-2_S21_L001_csp_NGmerge.fastq.gz
cc015-2_S22	cc015-2_S22	NA	csp	294641	output/processedReads/cc015-2_S22_L001_csp_NGmerge.fastq.gz
cc016-1_S24	cc016-1_S24	NA	msp1	254866	output/processedReads/cc016-1_S24_L001_msp1_NGmerge.fastq.gz
cc016-2_S23	cc016-2_S23	NA	csp	272354	output/processedReads/cc016-2_S23_L001_csp_NGmerge.fastq.gz
cc017-1_S25	cc017-1_S25	NA	msp1	218047	output/processedReads/cc017-1_S25_L001_msp1_NGmerge.fastq.gz
cc017-2_S24	cc017-2_S24	NA	csp	239261	output/processedReads/cc017-2_S24_L001_csp_NGmerge.fastq.gz
cc018-1_S26	cc018-1_S26	NA	msp1	241128	output/processedReads/cc018-1_S26_L001_msp1_NGmerge.fastq.gz
cc018-2_S25	cc018-2_S25	NA	csp	275401	output/processedReads/cc018-2_S25_L001_csp_NGmerge.fastq.gz
cc019-2_S26	cc019-2_S26	NA	csp	193131	output/processedReads/cc019-2_S26_L001_csp_NGmerge.fastq.gz
cc020-1_S27	cc020-1_S27	NA	msp1	253157	output/processedReads/cc020-1_S27_L001_msp1_NGmerge.fastq.gz
cc020-1_S27	cc020-1_S27	NA	csp	3568	output/processedReads/cc020-1_S27_L001_csp_NGmerge.fastq.gz
cc020-2_S27	cc020-2_S27	NA	csp	210791	output/processedReads/cc020-2_S27_L001_csp_NGmerge.fastq.gz
cc021-1_S28	cc021-1_S28	NA	msp1	228234	output/processedReads/cc021-1_S28_L001_msp1_NGmerge.fastq.gz
cc021-1_S28	cc021-1_S28	NA	csp	3049	output/processedReads/cc021-1_S28_L001_csp_NGmerge.fastq.gz
cc021-2_S28	cc021-2_S28	NA	csp	145871	output/processedReads/cc021-2_S28_L001_csp_NGmerge.fastq.gz
cc022-1_S29	cc022-1_S29	NA	msp1	152502	output/processedReads/cc022-1_S29_L001_msp1_NGmerge.fastq.gz
cc022-1_S29	cc022-1_S29	NA	csp	2635	output/processedReads/cc022-1_S29_L001_csp_NGmerge.fastq.gz
cc022-2_S1	cc022-2_S1	NA	csp	186701	output/processedReads/cc022-2_S1_L001_csp_NGmerge.fastq.gz
cco15-1_S23	cco15-1_S23	NA	msp1	205368	output/processedReads/cco15-1_S23_L001_msp1_NGmerge.fastq.gz
kg073-1_S20	kg073-1_S20	NA	msp1	225588	output/processedReads/kg073-1_S20_L001_msp1_NGmerge.fastq.gz
KG073-2_S19	KG073-2_S19	NA	csp	112746	output/processedReads/KG073-2_S19_L001_csp_NGmerge.fastq.gz
Mariam-1_S5	Mariam-1_S5	NA	msp1	170048	output/processedReads/Mariam-1_S5_L001_msp1_NGmerge.fastq.gz
Mariam-2_S4	Mariam-2_S4	NA	msp1	2153	output/processedReads/Mariam-2_S4_L001_msp1_NGmerge.fastq.gz
Mariam-2_S4	Mariam-2_S4	NA	csp	235754	output/processedReads/Mariam-2_S4_L001_csp_NGmerge.fastq.gz
MGH001-1_S28	MGH001-1_S28	NA	msp1	47705	output/processedReads/MGH001-1_S28_L001_msp1_NGmerge.fastq.gz
MGH001-2_S8	MGH001-2_S8	NA	csp	55603	output/processedReads/MGH001-2_S8_L001_csp_NGmerge.fastq.gz
PZ049-1_S21	PZ049-1_S21	NA	msp1	188665	output/processedReads/PZ049-1_S21_L001_msp1_NGmerge.fastq.gz
pz049-2_S20	pz049-2_S20	NA	csp	232639	output/processedReads/pz049-2_S20_L001_csp_NGmerge.fastq.gz
Rafiatu-1_S9	Rafiatu-1_S9	NA	msp1	191638	output/processedReads/Rafiatu-1_S9_L001_msp1_NGmerge.fastq.gz
Rafiatu-2_S8	Rafiatu-2_S8	NA	msp1	1691	output/processedReads/Rafiatu-2_S8_L001_msp1_NGmerge.fastq.gz
Rafiatu-2_S8	Rafiatu-2_S8	NA	csp	196293	output/processedReads/Rafiatu-2_S8_L001_csp_NGmerge.fastq.gz
Shaatu-1_S11	Shaatu-1_S11	NA	msp1	214979	output/processedReads/Shaatu-1_S11_L001_msp1_NGmerge.fastq.gz
Shaatu-2_S10	Shaatu-2_S10	NA	msp1	1528	output/processedReads/Shaatu-2_S10_L001_msp1_NGmerge.fastq.gz
Shaatu-2_S10	Shaatu-2_S10	NA	csp	200256	output/processedReads/Shaatu-2_S10_L001_csp_NGmerge.fastq.gz
sk052-1_S1	sk052-1_S1	NA	msp1	26055	output/processedReads/sk052-1_S1_L001_msp1_NGmerge.fastq.gz
sk052-2_S2	sk052-2_S2	NA	csp	25437	output/processedReads/sk052-2_S2_L001_csp_NGmerge.fastq.gz
sk053-1_S3	sk053-1_S3	NA	msp1	36315	output/processedReads/sk053-1_S3_L001_msp1_NGmerge.fastq.gz
sk053-2_S4	sk053-2_S4	NA	csp	26036	output/processedReads/sk053-2_S4_L001_csp_NGmerge.fastq.gz
sk057-1_S5	sk057-1_S5	NA	msp1	20603	output/processedReads/sk057-1_S5_L001_msp1_NGmerge.fastq.gz
sk057-2_S6	sk057-2_S6	NA	csp	28215	output/processedReads/sk057-2_S6_L001_csp_NGmerge.fastq.gz
sk085-1_S7	sk085-1_S7	NA	msp1	23436	output/processedReads/sk085-1_S7_L001_msp1_NGmerge.fastq.gz
sk085-2_S8	sk085-2_S8	NA	csp	27295	output/processedReads/sk085-2_S8_L001_csp_NGmerge.fastq.gz
sk088-1_S9	sk088-1_S9	NA	msp1	25800	output/processedReads/sk088-1_S9_L001_msp1_NGmerge.fastq.gz
sk088-2_S10	sk088-2_S10	NA	csp	28032	output/processedReads/sk088-2_S10_L001_csp_NGmerge.fastq.gz
sk090-1_S11	sk090-1_S11	NA	msp1	27208	output/processedReads/sk090-1_S11_L001_msp1_NGmerge.fastq.gz
sk090-2_S12	sk090-2_S12	NA	csp	29333	output/processedReads/sk090-2_S12_L001_csp_NGmerge.fastq.gz
sk094-1_S13	sk094-1_S13	NA	msp1	22119	output/processedReads/sk094-1_S13_L001_msp1_NGmerge.fastq.gz
sk094-2_S14	sk094-2_S14	NA	csp	28882	output/processedReads/sk094-2_S14_L001_csp_NGmerge.fastq.gz
sk096-1_S15	sk096-1_S15	NA	msp1	22285	output/processedReads/sk096-1_S15_L001_msp1_NGmerge.fastq.gz
sk096-2_S16	sk096-2_S16	NA	csp	27429	output/processedReads/sk096-2_S16_L001_csp_NGmerge.fastq.gz
sk097-1_S17	sk097-1_S17	NA	msp1	23199	output/processedReads/sk097-1_S17_L001_msp1_NGmerge.fastq.gz
sk097-2_S18	sk097-2_S18	NA	csp	27604	output/processedReads/sk097-2_S18_L001_csp_NGmerge.fastq.gz
sk101-1_S19	sk101-1_S19	NA	msp1	35170	output/processedReads/sk101-1_S19_L001_msp1_NGmerge.fastq.gz
sk101-2_S20	sk101-2_S20	NA	csp	28292	output/processedReads/sk101-2_S20_L001_csp_NGmerge.fastq.gz
sk107-1_S21	sk107-1_S21	NA	msp1	29323	output/processedReads/sk107-1_S21_L001_msp1_NGmerge.fastq.gz
sk107-2_S22	sk107-2_S22	NA	csp	28371	output/processedReads/sk107-2_S22_L001_csp_NGmerge.fastq.gz
sk108-1_S23	sk108-1_S23	NA	msp1	28062	output/processedReads/sk108-1_S23_L001_msp1_NGmerge.fastq.gz
sk108-2_S24	sk108-2_S24	NA	csp	26028	output/processedReads/sk108-2_S24_L001_csp_NGmerge.fastq.gz
sk119-1_S25	sk119-1_S25	NA	msp1	32613	output/processedReads/sk119-1_S25_L001_msp1_NGmerge.fastq.gz
sk119-2_S26	sk119-2_S26	NA	csp	24920	output/processedReads/sk119-2_S26_L001_csp_NGmerge.fastq.gz
sk125-1_S27	sk125-1_S27	NA	msp1	32270	output/processedReads/sk125-1_S27_L001_msp1_NGmerge.fastq.gz
sk125-2_S28	sk125-2_S28	NA	csp	32548	output/processedReads/sk125-2_S28_L001_csp_NGmerge.fastq.gz
sk142-1_S29	sk142-1_S29	NA	msp1	26833	output/processedReads/sk142-1_S29_L001_msp1_NGmerge.fastq.gz
sk142-2_S30	sk142-2_S30	NA	csp	34806	output/processedReads/sk142-2_S30_L001_csp_NGmerge.fastq.gz
sk150-1_S31	sk150-1_S31	NA	msp1	23715	output/processedReads/sk150-1_S31_L001_msp1_NGmerge.fastq.gz
sk150-2_S32	sk150-2_S32	NA	csp	34129	output/processedReads/sk150-2_S32_L001_csp_NGmerge.fastq.gz
sk154-1_S33	sk154-1_S33	NA	msp1	28895	output/processedReads/sk154-1_S33_L001_msp1_NGmerge.fastq.gz
sk154-2_S34	sk154-2_S34	NA	csp	37003	output/processedReads/sk154-2_S34_L001_csp_NGmerge.fastq.gz
sk159-1_S35	sk159-1_S35	NA	msp1	34452	output/processedReads/sk159-1_S35_L001_msp1_NGmerge.fastq.gz
sk159-2_S36	sk159-2_S36	NA	csp	42841	output/processedReads/sk159-2_S36_L001_csp_NGmerge.fastq.gz
sk162-1_S37	sk162-1_S37	NA	msp1	25841	output/processedReads/sk162-1_S37_L001_msp1_NGmerge.fastq.gz
sk162-2_S38	sk162-2_S38	NA	csp	34412	output/processedReads/sk162-2_S38_L001_csp_NGmerge.fastq.gz
sk163-1_S39	sk163-1_S39	NA	msp1	24163	output/processedReads/sk163-1_S39_L001_msp1_NGmerge.fastq.gz
sk163-2_S40	sk163-2_S40	NA	csp	34502	output/processedReads/sk163-2_S40_L001_csp_NGmerge.fastq.gz
sk166-1_S21	sk166-1_S21	NA	msp1	66144	output/processedReads/sk166-1_S21_L001_msp1_NGmerge.fastq.gz
sk166-2_S1	sk166-2_S1	NA	csp	51331	output/processedReads/sk166-2_S1_L001_csp_NGmerge.fastq.gz
sk177-1_S22	sk177-1_S22	NA	msp1	85322	output/processedReads/sk177-1_S22_L001_msp1_NGmerge.fastq.gz
sk177-2_S2	sk177-2_S2	NA	csp	86429	output/processedReads/sk177-2_S2_L001_csp_NGmerge.fastq.gz
sk179-1_S23	sk179-1_S23	NA	msp1	89774	output/processedReads/sk179-1_S23_L001_msp1_NGmerge.fastq.gz
sk179-2_S3	sk179-2_S3	NA	csp	73676	output/processedReads/sk179-2_S3_L001_csp_NGmerge.fastq.gz
sk181-1_S24	sk181-1_S24	NA	msp1	98994	output/processedReads/sk181-1_S24_L001_msp1_NGmerge.fastq.gz
sk181-2_S4	sk181-2_S4	NA	csp	53695	output/processedReads/sk181-2_S4_L001_csp_NGmerge.fastq.gz
sk189-1_S25	sk189-1_S25	NA	msp1	62187	output/processedReads/sk189-1_S25_L001_msp1_NGmerge.fastq.gz
sk189-2_S5	sk189-2_S5	NA	csp	72382	output/processedReads/sk189-2_S5_L001_csp_NGmerge.fastq.gz
sk191-1_S26	sk191-1_S26	NA	msp1	85244	output/processedReads/sk191-1_S26_L001_msp1_NGmerge.fastq.gz
sk191-2_S6	sk191-2_S6	NA	csp	79421	output/processedReads/sk191-2_S6_L001_csp_NGmerge.fastq.gz
sk196-1_S27	sk196-1_S27	NA	msp1	68412	output/processedReads/sk196-1_S27_L001_msp1_NGmerge.fastq.gz
sk196-2_S7	sk196-2_S7	NA	csp	82978	output/processedReads/sk196-2_S7_L001_csp_NGmerge.fastq.gz
Yakubu-1_S13	Yakubu-1_S13	NA	msp1	161760	output/processedReads/Yakubu-1_S13_L001_msp1_NGmerge.fastq.gz
