"SampleID"	"SampleName"	"BarcodePair"	"MarkerID"	"numRead"	"ReadFile"
"030-1_S26"	"030-1_S26"	NA	"msp1"	31798	"output/processedReads/030-1_S26_L001_msp1_bind220_220.fastq.gz"
"040-1_S29"	"040-1_S29"	NA	"msp1"	43472	"output/processedReads/040-1_S29_L001_msp1_bind220_220.fastq.gz"
"048-1_S31"	"048-1_S31"	NA	"msp1"	45252	"output/processedReads/048-1_S31_L001_msp1_bind220_220.fastq.gz"
"11639-1_S7"	"11639-1_S7"	NA	"msp1"	176003	"output/processedReads/11639-1_S7_L001_msp1_bind220_220.fastq.gz"
"11800-1_S16"	"11800-1_S16"	NA	"msp1"	210242	"output/processedReads/11800-1_S16_L001_msp1_bind220_220.fastq.gz"
"13819-1_S8"	"13819-1_S8"	NA	"msp1"	196265	"output/processedReads/13819-1_S8_L001_msp1_bind220_220.fastq.gz"
"13839-1_S12"	"13839-1_S12"	NA	"msp1"	253121	"output/processedReads/13839-1_S12_L001_msp1_bind220_220.fastq.gz"
"18330-1_S6"	"18330-1_S6"	NA	"msp1"	141481	"output/processedReads/18330-1_S6_L001_msp1_bind220_220.fastq.gz"
"18411-1_S15"	"18411-1_S15"	NA	"msp1"	159695	"output/processedReads/18411-1_S15_L001_msp1_bind220_220.fastq.gz"
"18437-1_S17"	"18437-1_S17"	NA	"msp1"	178829	"output/processedReads/18437-1_S17_L001_msp1_bind220_220.fastq.gz"
"192771-1_S14"	"192771-1_S14"	NA	"msp1"	162570	"output/processedReads/192771-1_S14_L001_msp1_bind220_220.fastq.gz"
"22511-1_S18"	"22511-1_S18"	NA	"msp1"	204146	"output/processedReads/22511-1_S18_L001_msp1_bind220_220.fastq.gz"
"82281-1_S3"	"82281-1_S3"	NA	"msp1"	213739	"output/processedReads/82281-1_S3_L001_msp1_bind220_220.fastq.gz"
"8238-1_S10"	"8238-1_S10"	NA	"msp1"	208793	"output/processedReads/8238-1_S10_L001_msp1_bind220_220.fastq.gz"
"Abass-1_S4"	"Abass-1_S4"	NA	"msp1"	183423	"output/processedReads/Abass-1_S4_L001_msp1_bind220_220.fastq.gz"
"Ali-1_S19"	"Ali-1_S19"	NA	"msp1"	208799	"output/processedReads/Ali-1_S19_L001_msp1_bind220_220.fastq.gz"
"Balkisu-1_S2"	"Balkisu-1_S2"	NA	"msp1"	224317	"output/processedReads/Balkisu-1_S2_L001_msp1_bind220_220.fastq.gz"
"cc001-1_S29"	"cc001-1_S29"	NA	"msp1"	62144	"output/processedReads/cc001-1_S29_L001_msp1_bind220_220.fastq.gz"
"cc002-1_S30"	"cc002-1_S30"	NA	"msp1"	65330	"output/processedReads/cc002-1_S30_L001_msp1_bind220_220.fastq.gz"
"cc003-1_S31"	"cc003-1_S31"	NA	"msp1"	76497	"output/processedReads/cc003-1_S31_L001_msp1_bind220_220.fastq.gz"
"cc004-1_S32"	"cc004-1_S32"	NA	"msp1"	84366	"output/processedReads/cc004-1_S32_L001_msp1_bind220_220.fastq.gz"
"cc005-1_S33"	"cc005-1_S33"	NA	"msp1"	57124	"output/processedReads/cc005-1_S33_L001_msp1_bind220_220.fastq.gz"
"cc006-1_S34"	"cc006-1_S34"	NA	"msp1"	81051	"output/processedReads/cc006-1_S34_L001_msp1_bind220_220.fastq.gz"
"cc007-1_S35"	"cc007-1_S35"	NA	"msp1"	82710	"output/processedReads/cc007-1_S35_L001_msp1_bind220_220.fastq.gz"
"cc008-1_S36"	"cc008-1_S36"	NA	"msp1"	53215	"output/processedReads/cc008-1_S36_L001_msp1_bind220_220.fastq.gz"
"cc009-1_S37"	"cc009-1_S37"	NA	"msp1"	59141	"output/processedReads/cc009-1_S37_L001_msp1_bind220_220.fastq.gz"
"cc010-1_S38"	"cc010-1_S38"	NA	"msp1"	85364	"output/processedReads/cc010-1_S38_L001_msp1_bind220_220.fastq.gz"
"cc011-1_S39"	"cc011-1_S39"	NA	"msp1"	84169	"output/processedReads/cc011-1_S39_L001_msp1_bind220_220.fastq.gz"
"cc012-1_S40"	"cc012-1_S40"	NA	"msp1"	83184	"output/processedReads/cc012-1_S40_L001_msp1_bind220_220.fastq.gz"
"cc014-1_S22"	"cc014-1_S22"	NA	"msp1"	212611	"output/processedReads/cc014-1_S22_L001_msp1_bind220_220.fastq.gz"
"cc016-1_S24"	"cc016-1_S24"	NA	"msp1"	259072	"output/processedReads/cc016-1_S24_L001_msp1_bind220_220.fastq.gz"
"cc017-1_S25"	"cc017-1_S25"	NA	"msp1"	220974	"output/processedReads/cc017-1_S25_L001_msp1_bind220_220.fastq.gz"
"cc018-1_S26"	"cc018-1_S26"	NA	"msp1"	245931	"output/processedReads/cc018-1_S26_L001_msp1_bind220_220.fastq.gz"
"cc020-1_S27"	"cc020-1_S27"	NA	"msp1"	255977	"output/processedReads/cc020-1_S27_L001_msp1_bind220_220.fastq.gz"
"cc021-1_S28"	"cc021-1_S28"	NA	"msp1"	230170	"output/processedReads/cc021-1_S28_L001_msp1_bind220_220.fastq.gz"
"cc022-1_S29"	"cc022-1_S29"	NA	"msp1"	154800	"output/processedReads/cc022-1_S29_L001_msp1_bind220_220.fastq.gz"
"cco15-1_S23"	"cco15-1_S23"	NA	"msp1"	208322	"output/processedReads/cco15-1_S23_L001_msp1_bind220_220.fastq.gz"
"kg073-1_S20"	"kg073-1_S20"	NA	"msp1"	227698	"output/processedReads/kg073-1_S20_L001_msp1_bind220_220.fastq.gz"
"Mariam-1_S5"	"Mariam-1_S5"	NA	"msp1"	171687	"output/processedReads/Mariam-1_S5_L001_msp1_bind220_220.fastq.gz"
"MGH001-1_S28"	"MGH001-1_S28"	NA	"msp1"	47995	"output/processedReads/MGH001-1_S28_L001_msp1_bind220_220.fastq.gz"
"PZ049-1_S21"	"PZ049-1_S21"	NA	"msp1"	190372	"output/processedReads/PZ049-1_S21_L001_msp1_bind220_220.fastq.gz"
"Rafiatu-1_S9"	"Rafiatu-1_S9"	NA	"msp1"	193972	"output/processedReads/Rafiatu-1_S9_L001_msp1_bind220_220.fastq.gz"
"Shaatu-1_S11"	"Shaatu-1_S11"	NA	"msp1"	217329	"output/processedReads/Shaatu-1_S11_L001_msp1_bind220_220.fastq.gz"
"sk052-1_S1"	"sk052-1_S1"	NA	"msp1"	26493	"output/processedReads/sk052-1_S1_L001_msp1_bind220_220.fastq.gz"
"sk053-1_S3"	"sk053-1_S3"	NA	"msp1"	36895	"output/processedReads/sk053-1_S3_L001_msp1_bind220_220.fastq.gz"
"sk057-1_S5"	"sk057-1_S5"	NA	"msp1"	20946	"output/processedReads/sk057-1_S5_L001_msp1_bind220_220.fastq.gz"
"sk085-1_S7"	"sk085-1_S7"	NA	"msp1"	23906	"output/processedReads/sk085-1_S7_L001_msp1_bind220_220.fastq.gz"
"sk088-1_S9"	"sk088-1_S9"	NA	"msp1"	25932	"output/processedReads/sk088-1_S9_L001_msp1_bind220_220.fastq.gz"
"sk090-1_S11"	"sk090-1_S11"	NA	"msp1"	27583	"output/processedReads/sk090-1_S11_L001_msp1_bind220_220.fastq.gz"
"sk094-1_S13"	"sk094-1_S13"	NA	"msp1"	22392	"output/processedReads/sk094-1_S13_L001_msp1_bind220_220.fastq.gz"
"sk096-1_S15"	"sk096-1_S15"	NA	"msp1"	22372	"output/processedReads/sk096-1_S15_L001_msp1_bind220_220.fastq.gz"
"sk097-1_S17"	"sk097-1_S17"	NA	"msp1"	24621	"output/processedReads/sk097-1_S17_L001_msp1_bind220_220.fastq.gz"
"sk101-1_S19"	"sk101-1_S19"	NA	"msp1"	35303	"output/processedReads/sk101-1_S19_L001_msp1_bind220_220.fastq.gz"
"sk107-1_S21"	"sk107-1_S21"	NA	"msp1"	29435	"output/processedReads/sk107-1_S21_L001_msp1_bind220_220.fastq.gz"
"sk108-1_S23"	"sk108-1_S23"	NA	"msp1"	28197	"output/processedReads/sk108-1_S23_L001_msp1_bind220_220.fastq.gz"
"sk119-1_S25"	"sk119-1_S25"	NA	"msp1"	33052	"output/processedReads/sk119-1_S25_L001_msp1_bind220_220.fastq.gz"
"sk125-1_S27"	"sk125-1_S27"	NA	"msp1"	33037	"output/processedReads/sk125-1_S27_L001_msp1_bind220_220.fastq.gz"
"sk142-1_S29"	"sk142-1_S29"	NA	"msp1"	26937	"output/processedReads/sk142-1_S29_L001_msp1_bind220_220.fastq.gz"
"sk150-1_S31"	"sk150-1_S31"	NA	"msp1"	24029	"output/processedReads/sk150-1_S31_L001_msp1_bind220_220.fastq.gz"
"sk154-1_S33"	"sk154-1_S33"	NA	"msp1"	29149	"output/processedReads/sk154-1_S33_L001_msp1_bind220_220.fastq.gz"
"sk159-1_S35"	"sk159-1_S35"	NA	"msp1"	34610	"output/processedReads/sk159-1_S35_L001_msp1_bind220_220.fastq.gz"
"sk162-1_S37"	"sk162-1_S37"	NA	"msp1"	26098	"output/processedReads/sk162-1_S37_L001_msp1_bind220_220.fastq.gz"
"sk163-1_S39"	"sk163-1_S39"	NA	"msp1"	24291	"output/processedReads/sk163-1_S39_L001_msp1_bind220_220.fastq.gz"
"sk166-1_S21"	"sk166-1_S21"	NA	"msp1"	66688	"output/processedReads/sk166-1_S21_L001_msp1_bind220_220.fastq.gz"
"sk177-1_S22"	"sk177-1_S22"	NA	"msp1"	86218	"output/processedReads/sk177-1_S22_L001_msp1_bind220_220.fastq.gz"
"sk179-1_S23"	"sk179-1_S23"	NA	"msp1"	90534	"output/processedReads/sk179-1_S23_L001_msp1_bind220_220.fastq.gz"
"sk181-1_S24"	"sk181-1_S24"	NA	"msp1"	99563	"output/processedReads/sk181-1_S24_L001_msp1_bind220_220.fastq.gz"
"sk189-1_S25"	"sk189-1_S25"	NA	"msp1"	62892	"output/processedReads/sk189-1_S25_L001_msp1_bind220_220.fastq.gz"
"sk191-1_S26"	"sk191-1_S26"	NA	"msp1"	86209	"output/processedReads/sk191-1_S26_L001_msp1_bind220_220.fastq.gz"
"sk196-1_S27"	"sk196-1_S27"	NA	"msp1"	69170	"output/processedReads/sk196-1_S27_L001_msp1_bind220_220.fastq.gz"
"Yakubu-1_S13"	"Yakubu-1_S13"	NA	"msp1"	163001	"output/processedReads/Yakubu-1_S13_L001_msp1_bind220_220.fastq.gz"
